AuthorId,PaperIds
2080775,2200312 1047104 280462 1467879
1449997,2246338 2221775 2142830 2105911 2095772 2017920 1938822 1844581 1820969 1775141 1298837 1148497 1139266 907858 903714 862109 846769 712114 708423 679601 673101 573804 505648 308173 296180 180935 150678 92678 610954 2154495 1548583 1257890 1257143 1097999 800233 705603 640020 1167317 1146998 278509 1280836 2155392 1108879 1289494 2193101 534272 1860361 1565222 1184114 889233 656215 1878050 1796006 1791967 1737646 1573557 1569718 1389825 1385325 1378307 1268714 1249533 1152366 1122925 1118986 892111 801692 781436 769393 740570 722753 664519 621494 557671 377119 284416 239245 1324722 882996 1782311 2217498 1829174 1783148 564160 233113 1631830 1919320 983689 1133014 1818632 1582153 56620 1619770 533284 1539429 228628 491778 521425 110464 231011 1212140 1956006 1009518 131780 615668 178846 2117011 1451236 1469797 1144918 2086480 1996329 1635899 1610730 825094 745076 1730862 1654274 1361252 1280735 508399 121710 49808 359251 2104398 1353610 1428408 1279978 1036947 91303 2256027 1865740 854665 593640 367603 2169229 362613 1392515 406487 1573677 1280506 1084010 1310231 949419 2199312 2099907 901232 416445 309836 1233667 2092083 639893 347655 466488 2011324 1518830 1169850 777932 2020270 1197674 68165 1493539 1767949 1526929 997095 1638716 1965371 100922 325566 2238546 2208799 2166429 2069163 1755607 1138254 977723 949588 184116 1350192 830901 1005650 1517321 506329 1349016 1808375 1778740 1463279 136615 1156673 1726513 373182 1497272 1926804 1878055 1272178 519686 2258855 2076475 1528971 1434269 1377750 1352391 1258401 1123626 1023448 960257 911506 817651 634800 530917 499044 386399 200180 105701 2068775 1996679 1629445 1566195 462957 1403571 792080 1860884 1608550 1139898 2014781 1718292 1703897 1084472 836226 486709 200929 120646 19685 341631 1877715 1037916 2227394 2226595 1098736 1030570 119775 1998497 1896408 932100 1105980 2239685 1886337 987501 514773 474284 10821 677302 1512168 279430 435540 584145 1346062 910361 1336240 581863 1134778 1108868 1722180 514112 568550 1351112 1047263 415226 398755 4449 2234715 783621 1874320 942094 57616 1274537 890376 294614 1266168 1481422 1589355 1311344 1064641 809918 2175781 948733 249384 1421643 1565250 1314969 2141453 140233 1484544 18780 177868 2104115 794032
1646608,1109704 1276973 920493 1353294 937798 1222335 2010045 108069 1214962 637230 1726576 86274 1326853 337144 154185 2104510 452542 55289
548881,1407349 1047577 1047577 1018076 910089 241424 859025 1335059 1832338 1079278 402538 308398 18338 10951 10951 892266 2019446 782302 1206789 1206789 1025304 394121 1717926 125040 1517362 984197 112974 678591 375198 561595 2171448 777515 1708010 1365608 1651731 1235168 2228841 2228841 123113 1199770 936276 769886 1797748 1748394 2071145 1810044 1583546 1734866 550461 661358 897748 2145231 1856008 1149972 25095 1486126 1355566 744232 561905 267733 1290332 1064813 1988146 1662128 2148361
1409048,1259500 1259500 1259500 1040223 1040223 1040223 774860 774860 774860 1867262 1867262 1867262 1086416 1086416 1086416 1658596 1658596 1658596 340873 340873 340873 1509560 1995531 1995531 1995531
1105949,887268 470196 106577 1112361 1772198 1765928 881854 303443 1937779 1261968 910272 851741 554949 1236126 442334 326936 1723984 252862 308939 1959935 1508783 928159 637053
286759,1482575 2035525 1645200 2135477 667657 1736484 2063392 1804797 1922137 827692 1664197 1060946 1059519 2071962 1370811 1086880 1195279 2236050 938315
950318,772812 1349883 1316908
41009,1492021 114875 2034501 199656 1698249 1503866 1225680 637278 656419 246701 1474631 2124527 1029758 863425 643702 336248 1956351 1531457 84587 2228833 376081 1994425 915032 2234486 1819448 330114 1573546 926841 827041 1934756 428606 1862142 2097253 1308254 253685 253685 1138474 1592115 1839925 1375484 644357 2181493 261035 2080354 2038704 1398925 1258284 56140 2058482 2026989 1357171 1176104 129720
55,2145125 674836 501918 2253161 1068666 538215 2239313 415449 580095 283152 855331 360533 778747 400429 360278 1420910 285210 2182966 2149929 507841 1309499 569149 427328 1006063 1503337 842748 787670 749124 707333 1134037 847721 1686687 1404308 2135162 1394715 368324 768943 341809 1996769 1333822 129165 1567825 590824 1200417 1087938 1350211 1639193 836602 462613 2172944 1704638 949475 1258087 68389 1234065 1003588 1917226 1513936 778260 138408 2239080 1505207 1480374 2219269 1334565 742557 529078 596639 1106983 413987 1598529 2152937 1306853 839470 844326 402085 82669 2047193 739353 1129545 1127766 393613 2139275 857434 2130152 1868160 1318932 222469 1040990 69178 836932 1311582 178422 1796849 2020050 1779715 164850 847068 1111248 2101279 1935912 561429 1923712 396571 2160386 1246558 2061699 1232116 311565 1647435 167677 951610 767668 2243047 1303769 1253687 1030869 914441 600343 1705250 191340 1613009 862499 2088058 645843 75356 1709669 1421288 1358761 2097673 248390 415677 1426341 375494 2069862 878853 878611 55193 1162408 1963658 341916 1113127 1389430 869430 1748110 1124696 1767867 282173 144775 1892017 1629211 1390814 1246911 998325 605718 1964990 1692285 1432571 1254356 1131277 424703 1226103 2060463 1182092 787171 494493 68780 2140444 666181 367455 1355338 1330500 609556 500411 567439 1213444 1844943 1807352 1674347 618099 563378 1998820 2078331 1389913 243218 1334503 1279252 362297 82789 1762246 161497 1475480 1536069 25103 1634096 153324 2242701 1842828 1412697 782195 151248 42966 2254072 1561133 110515 599636 1600372 1521193 1453295 1291570 1236357 330142 1813933 933473 145200 179163 1988643 1572902 1267968 1516256 294906 2133149 1645597 337774 1562350 861633 1314361 1170435 1347683 1598603 602590 491228 1079484 1874507 1501821 2116002 916062 400432 649131 1495079 1402396 122970 1791611 1457884 545233 533875 366499 47028 2086146 2043565 1618919 440944 449667 1208855 947880 1292671 716659 2235159 607208 1575412 1470552 1374577 109868 2089307 1051834 1484358 1017616 1819740 657724 627473 1490929 2233795 1065523 548812 816840 1265959 1604996 2188615 1149308 1369596 761011 275203 269210 1805568 2020967 1691264 590988 160532 224005 1079496 418934 380270 1561911 1309753 889545 571156 478547 136767 419865 1258466 671895 1409438 1953648 1348168 1473948 75169 348351 518886 809176 1503094 1961041 1514435 433440 391076 2092511 1871885 1268918 1609130 1914211 2148216 1728999 1028676 1647084 1263351 293806 1336245 542459 640178 1290673 2169279 372043 762178 2188967 636227 1218501 267444 441364 1315957 1471568 209987 1704151 530550 1617887 733638 1384633 295041 50011 468963 1247571 600193 1412366 1173588 1487068 128962 1976657 1002385 188583 913529 1842680 633416 852486 652442 1689507 1296398 169774 1417252 965304 411010 1130940 836220 569738 1315501 292208 251879 2001206 374924 2228319 1039736 1406810 873533 1324071 1224720 2185666 1235117 2213984 787757 2006004 577846 2161270 1709794 655318 102768 520682 1051041 1971149 801725 2010142 228600 1537119 1993390 1809054 1157610 981085 487867 1973900 258012 1044866 452096 327786 108616 1318181 847749 2054919 197854 1978555 944768 1905878 156007 1120846 443598 812510 95899 157653 217562 2139295 441057 2188174 313273 1117699 1166498 443903 1671418 1441833 1401976 185529 1464112 1373323 745317 1114808 1958000 2052277 1740617 991821 2071330 1147447 429669 1596644 433613 629576 36459 791391 1627327 1175552 860343 701621 2227977 662811 1846507 389256 375645 19294 1619343 2067435 617344 1341262 766130 1488589 1221789 838147 1038114 24074 1212786 1639061 589720 2223355 1283236 2107137 1845348 1224097 837051 757830 1545364 520007 919007 616823 2014129 427091 2050391 1715897 1358815 40294 423069 2248734 1754410 1477509 1012283 685489 1909176 222631 1425243 939887 583593 1587177 2172928 327692 1268197 178136 1559958 697076 1974662 2203516 2160850 1792050 300323 690310 1845523 1321344 810770 1669282 699144 77268 1638417 515706 1000445 747730 1737538 1231449 1183554 1886009 744480 1165889 1081944 824805 20444 1058628 2126038 2170187 566388 1696592 1204075 2221713 250051 973193 558232 1330055 1883848 1690254 801400 1988335 25304 2031585 1874629 1705023 1588620 1287246 805860 397455 341776 1693618 1618867 1614166 1493998 1275261 1057692 869813 867779 860367 821861 819589 810900 464497 417586 369796 322106 312517 139335 138526 85184 15471 2507 1659666 883792 824229 2228219 241121 2209422 1481605 1822770 1360578 1328475 1281589 1088098 493921 299391 1782482 2232203 1743955 2025947 1153819 800859 178497 1507925 2187821 1058984 918326 717808 686632 166298 885156 2169998 1912963 1768979 1564558 1376095 1294041 794747 733374 651888 2144025 683325 2189241 803603 2100017 2069581 2033860 1930652 1598298 1368392 1338645 1272277 1231847 1131748 1034482 601175 446774 391835 372994 317855 264821 52775 2238930 2001305 1665586 1637203 1611534 1605108 1482854 1392908 1340284 1299922 1200622 1095626 1032043 898876 823685 783611 753581 720336 649955 640883 605597 529900 511272 493623 434161 401485 372836 1717868 1230662 1169763 849805 732607 434255 479932
