AuthorId,PaperIds,Usage
55,68389 144775 191340 283152 285210 311565 337774 341916 360533 368324 391076 400429 415449 501918 507841 529078 538215 567439 580095 599636 605718 609556 627473 649131 674836 749124 847068 855331 869430 889545 949475 998325 1003588 1006063 1068666 1087938 1113127 1182092 1200417 1246558 1258087 1311582 1315957 1389430 1420910 1536069 1598529 1629211 1705250 1807352 1917226 1958000 1963658 2139275 2145125 2149929 2160386 2239313 2242701 2253161,PublicTest
426,873 92584 174625 212235 581263 608753 703799 733468 762357 841427 885676 1020664 1200538 1220376 1309402 1397733 1474160 1506113 1513874 1525094 1591324 1619181 1620205 1715768 1743931 1755057 1886966 1896437 2114604 2131795,PublicTest
1861,59550 282043 528639 922192 1048827 1059590 1818633,PublicTest
10212,24013 49767 131299 173546 199989 275419 290814 414184 509790 551557 681072 694244 711071 719916 792369 824163 1114250 1155164 1443210 1495359 1576383 1723109 1753895 1763581 1830188 1888199 1907454 2017320 2148031,PublicTest
10275,300441 368138 876311 2029275,PublicTest
11496,220745 248838 310992 382531 395701 511060 973637 1202424 1272569 1492999 1743639 1762778 1872494 1885728,PublicTest
18188,137079 139332 157235 197565 201934 241280 389381 474495 517152 552709 573569 580096 661470 710443 735641 763814 804483 813760 837759 888761 909867 913351 925232 932834 986581 1094311 1107957 1161740 1221739 1370016 1449121 1545848 1572736 1596936 1625524 1678146 1792343 1794090 1835169 1908236 1932598 1940154 1957616 2045142 2085225 2143863 2166077 2174825 2179721 2235164,PublicTest
24084,83119 159070 264073 333881 387864 485673 508776 540977 577751 709938 740629 742130 755602 798065 855848 878697 881167 885251 921770 948819 985112 1001700 1016070 1019835 1033339 1036778 1125171 1189579 1231769 1255955 1265218 1293911 1295125 1373575 1382971 1627503 1631641 1738102 1869397 1884939 1921831 1956573 1995821 2088513 2109321 2110768,PublicTest
24742,16442 51173 71659 93774 130342 368006 415681 418161 554197 1027260 1048305 1208535 1212339 1245729 1479666 1781937 1878416 1913043 1913487 1983432 2044666 2089832 2169048,PublicTest
25416,12388 12812 61971 93999 169683 181977 232439 284666 305286 329902 360572 374185 460139 519560 558147 605987 670347 742067 757899 790443 811814 812580 813039 814588 866186 867114 869152 892088 927390 930472 941767 1067880 1076709 1099694 1168453 1196882 1227405 1237729 1360551 1370261 1400136 1416605 1447022 1451082 1462076 1474602 1485594 1577492 1587465 1596121 1610714 1610983 1613422 1614447 1622407 1687437 1797025 1818437 1825773 1828331 1847725 1854342 1895909 1919301 1966318 2001332 2134084 2138119 2160345 2185606 2192042 2225397 2247877,PublicTest
28219,5770 83820 109827 167565 330872 586226 602134 623567 627675 631751 680300 774485 1025108 1144676 1220941 1325050 1399749 1422005 1456144 1588027 1652378 1680681 1791923 1835483 1890179 1931375 1955611,PublicTest
29128,110647 315629 601667 618851 642811 657946 703337 921604 1137717 1174507 1769412 1860108 2095139 2178958 2196786,PublicTest
34494,91967 259341 560590 712201 803164 846983 968173 1063907 1076624 1206531 1524512,PublicTest
34496,62917 266856 888479 1359075 1363327 1429443 1638932 2130364 2169307 2253773,PublicTest
36062,12362 52206 82450 88304 96930 100084 100193 105792 111433 231435 239616 253150 274016 280324 292891 318438 384055 400327 448872 461765 471502 581437 605243 611971 646637 704914 710159 822364 869744 870955 910628 914058 916143 921400 924384 946260 972530 1007492 1037188 1051950 1053515 1070290 1096144 1098015 1135619 1148170 1150479 1152288 1168546 1205019 1225907 1227183 1257199 1314077 1346661 1374008 1393734 1411362 1475139 1481448 1488418 1520105 1528118 1579310 1627429 1644154 1658764 1755021 1760287 1765448 1791107 1809858 1884507 1894316 1895472 1895803 1938337 1958799 1975276 2030363 2084437 2120779 2129732 2166942 2251014 2254989 2257551,PublicTest
